,corporation,2021 overall score,Affinity,Ethics,Growth,Products/service,Citizenship,Vision,Culture,2019 Ranking,2019 Demo_Democrat,2019 Demo_Independent,2019 Demo_Republican
15,Microsoft,76.8,73.5,72.5,79.2,82.1,70.6,77.0,78.5,79.7086585262074,79.6448784516857,77.7269212906046,81.5067100337845
16,Netflix,76.4,78.4,74.6,80.3,80.6,71.7,78.9,76.6,77.3003320449298,80.8480241554776,71.6954534729791,81.037821776152
17,IBM,76.3,74.0,77.0,77.0,80.4,71.8,78.3,77.9,74.2890673546189,75.3335228978041,72.4175788583372,75.2243911996249
18,General Electric,76.1,75.6,75.1,76.3,79.6,70.5,76.0,77.2,75.3347773767225,77.1239984525378,72.2879992890974,76.5030582813004
19,Target,76.0,75.6,76.7,78.4,75.8,74.5,78.1,75.9,69.9097835590397,77.0217840627846,68.9617067161277,63.430662471114
20,Citigroup,75.7,73.5,74.0,79.7,78.6,70.9,77.8,75.7,68.8249431673217,66.5153156554101,69.646638681441,70.0861189928754
21,American Express,75.6,76.1,76.5,79.7,77.8,69.9,79.4,77.3,74.6428559867969,76.8869195724583,70.7241004918806,75.706048297324
22,The Home Depot,75.4,75.8,74.4,78.5,78.0,70.9,77.1,76.8,79.1176114607462,76.7384431221508,77.9743832108094,82.7588294772614
23,Walgreens,75.3,77.0,77.1,77.8,76.8,74.2,77.7,75.4,75.4405476321073,75.910830549069,69.8295025658698,81.640672607071
24,Best Buy,75.2,75.3,75.3,74.3,80.0,69.7,74.5,73.0,76.1306900410652,74.0841166814767,75.6143228650031,79.0650419707982
25,Adidas,75.1,73.6,74.7,77.7,79.7,73.1,77.4,74.7,77.2746550116369,77.6130922089654,74.6068616780045,81.471147376681
26,Hobby Lobby,74.5,76.7,76.5,76.9,76.5,70.5,76.8,75.1,78.8565710979387,75.9844347109407,77.8866771849185,83.2154923576938
27,Kohl's,74.4,77.0,76.4,74.2,76.8,72.6,77.0,73.4,75.8761151494301,77.5130728901361,72.6308766104341,78.2260128480043
28,T-Mobile,74.3,72.7,73.5,79.5,75.3,69.3,79.3,75.1,71.7870143151702,71.9382778929128,69.1868532382318,76.1266438341127
29,Google,73.3,70.0,66.9,76.5,76.7,67.0,77.4,73.7,75.4298757554881,82.122224389722,72.0461610197564,71.5509466944673
30,Nike,72.8,70.3,71.9,76.1,77.9,68.7,74.3,72.3,76.0372179330834,77.7385789948751,76.827128999748,73.4407803514379
31,Nordstrom,72.8,73.6,75.3,72.1,76.1,69.4,74.6,72.2,74.8714426566485,76.4715261752733,70.902824628474,78.529568560316
32,Macy's,72.3,75.2,74.7,68.3,75.5,70.2,72.5,73.6,70.7022309131012,72.0429086069022,67.3005436970469,72.7167495386973
33,eBay,72.1,73.3,70.4,74.5,73.0,57.6,74.7,70.9,73.1167137335968,76.3026000366756,71.5845643066578,71.5755644980997
34,General Motors,72.0,70.6,71.5,73.5,73.5,68.7,76.2,73.9,70.24021802166,74.6439183497518,67.3049833377736,69.3818364100717
35,Royal Dutch Shell,71.6,75.0,75.3,80.5,81.9,69.9,78.7,77.4,73.2069647679688,74.5042693095942,70.2892369269425,75.7907733261115
36,Yum! Brands,71.5,73.6,70.7,74.8,73.7,65.9,74.8,70.2,71.4163422865887,72.9328696959871,67.9502132888733,74.7079490588526
37,Dollar General,71.4,74.8,71.9,77.0,68.4,71.3,76.9,71.2,68.2447238408092,69.7290930194385,68.2510467681986,66.9658723174417
38,Johnson & Johnson,71.4,68.8,70.7,74.0,74.7,69.5,73.9,71.3,76.2632552122068,75.9865135555212,70.2622595207677,81.3193504530239
39,McDonald's,71.1,72.5,71.4,77.7,70.3,70.9,78.4,69.1,63.7345109988418,64.8537361028673,65.0737431567817,61.1152352813404
40,Dollar Tree,71.1,78.0,69.0,76.4,67.0,68.6,76.2,68.6,71.5423366494597,72.1755897222537,72.2145670128522,68.9091127157829
41,Chipotle,70.8,69.3,70.6,74.0,73.2,68.9,72.5,70.7,66.8326289392594,69.8924780643813,62.6133483431,68.137590327609
42,Bank of America,70.5,69.7,70.6,73.8,72.5,67.7,74.1,71.4,60.8731660727527,60.3695768208982,58.0355222427575,64.4037602005229
43,ExxonMobil,70.4,67.5,70.1,73.6,73.1,64.4,73.0,71.6,67.5215486364619,66.640322143477,65.5560444882264,70.6975853565873
44,Delta Air Lines,70.4,70.4,69.9,71.4,72.2,66.5,74.6,70.6,69.6494899372693,72.2916056225874,66.339297099229,70.6648985272606
45,Walmart,69.7,71.7,67.6,76.2,70.1,66.9,76.9,64.5,66.9285071834527,69.530465113107,62.0050689387813,69.3947358557748
46,BP,68.2,65.9,66.8,72.8,71.4,62.3,72.3,70.4,66.4601749198843,64.8677639160992,61.1483977694685,73.9728937474668
47,AT&T,67.6,66.5,67.5,68.5,70.3,61.4,70.1,69.8,69.4923478907797,67.4133692024392,66.9110144474248,74.8397765932047
48,United Airlines,67.4,68.4,67.5,68.8,69.0,63.9,70.0,68.9,65.1902598775267,64.246768598767,67.5460054325116,63.1760782811869
49,JCPenney,66.3,70.2,71.8,60.7,68.4,66.2,65.1,65.3,66.5608082722146,70.2731908411057,63.5082125517773,67.9909004818224
50,Uber,66.2,66.8,66.9,73.9,69.2,64.2,72.4,66.4,67.3451361447964,66.8896147168545,66.4303327782489,68.7846781150353
51,Comcast,65.8,61.5,62.3,70.6,70.4,59.4,66.9,65.2,61.4130623565106,64.5183071133993,60.9177590818325,59.7141288728513
52,Twitter,63.4,62.2,63.0,67.2,65.4,60.9,67.1,63.6,61.8763670372796,64.2519510919103,64.236639116115,55.3459952813909
53,Facebook,60.0,53.8,55.9,63.9,64.9,55.1,65.2,60.4,58.0791231448591,61.0266100202612,56.9821544807497,56.2628991280063
