,corporation,2021 overall score,Affinity,Ethics,Growth,Products/service,Citizenship,Vision,Culture,2019 Ranking,2019 Demo_Democrat,2019 Demo_Independent,2019 Demo_Republican
46,Nike,72.8,70.3,71.9,76.1,77.9,68.7,74.3,72.3,76.03721793,77.73857899,76.827129,73.44078035
47,Nordstrom,72.8,73.6,75.3,72.1,76.1,69.4,74.6,72.2,74.87144266,76.47152618,70.90282463,78.52956856
48,Macy's,72.3,75.2,74.7,68.3,75.5,70.2,72.5,73.6,70.70223091,72.04290861,67.3005437,72.71674954
49,Starbucks Corporation,72.3,70.8,72.2,76.0,77.3,65.6,75.8,72.1,72.70404988,78.93553631,69.45681987,70.21669962
50,eBay,72.1,73.3,70.4,74.5,73.0,57.6,74.7,70.9,73.11671373,76.30260004,71.58456431,71.5755645
51,General Motors,72.0,70.6,71.5,73.5,73.5,68.7,76.2,73.9,70.24021802,74.64391835,67.30498334,69.38183641
52,Royal Dutch Shell,71.6,75.0,75.3,80.5,81.9,69.9,78.7,77.4,73.20696477,74.50426931,70.28923693,75.79077333
53,Yum! Brands,71.5,73.6,70.7,74.8,73.7,65.9,74.8,70.2,71.41634229,72.9328697,67.95021329,74.70794906
54,Dollar General,71.4,74.8,71.9,77.0,68.4,71.3,76.9,71.2,68.24472384,69.72909302,68.25104677,66.96587232
55,Johnson & Johnson,71.4,68.8,70.7,74.0,74.7,69.5,73.9,71.3,76.26325521,75.98651356,70.26225952,81.31935045
56,McDonald's,71.1,72.5,71.4,77.7,70.3,70.9,78.4,69.1,63.734511,64.8537361,65.07374316,61.11523528
57,Dollar Tree,71.1,78.0,69.0,76.4,67.0,68.6,76.2,68.6,71.54233665,72.17558972,72.21456701,68.90911272
58,Fiat Chrysler Automobiles,70.8,71.6,73.1,73.4,72.9,69.7,71.5,73.3,65.80539751,68.75533459,59.60543781,71.54141117
59,Chipotle,70.8,69.3,70.6,74.0,73.2,68.9,72.5,70.7,66.83262894,69.89247806,62.61334834,68.13759033
60,Bank of America,70.5,69.7,70.6,73.8,72.5,67.7,74.1,71.4,60.87316607,60.36957682,58.03552224,64.4037602
61,ExxonMobil,70.4,67.5,70.1,73.6,73.1,64.4,73.0,71.6,67.52154864,66.64032214,65.55604449,70.69758536
62,Delta Air Lines,70.4,70.4,69.9,71.4,72.2,66.5,74.6,70.6,69.64948994,72.29160562,66.3392971,70.66489853
63,Walmart,69.7,71.7,67.6,76.2,70.1,66.9,76.9,64.5,66.92850718,69.53046511,62.00506894,69.39473586
64,BP,68.2,65.9,66.8,72.8,71.4,62.3,72.3,70.4,66.46017492,64.86776392,61.14839777,73.97289375
65,AT&T,67.6,66.5,67.5,68.5,70.3,61.4,70.1,69.8,69.49234789,67.4133692,66.91101445,74.83977659
66,United Airlines,67.4,68.4,67.5,68.8,69.0,63.9,70.0,68.9,65.19025988,64.2467686,67.54600543,63.17607828
67,JCPenney,66.3,70.2,71.8,60.7,68.4,66.2,65.1,65.3,66.56080827,70.27319084,63.50821255,67.99090048
68,Uber,66.2,66.8,66.9,73.9,69.2,64.2,72.4,66.4,67.34513614,66.88961472,66.43033278,68.78467812
69,Comcast,65.8,61.5,62.3,70.6,70.4,59.4,66.9,65.2,61.41306236,64.51830711,60.91775908,59.71412887
70,Twitter,63.4,62.2,63.0,67.2,65.4,60.9,67.1,63.6,61.87636704,64.25195109,64.23663912,55.34599528
71,Wells Fargo & Company,63.0,62.6,62.0,67.0,65.9,60.5,67.5,63.6,52.72655244,56.7318277,43.74130712,57.40181983
72,Sears Holdings Corporation,61.2,63.4,65.2,54.1,64.9,64.1,57.6,58.2,52.28288057,51.47549201,48.77505338,57.02021157
73,Facebook,60.0,53.8,55.9,63.9,64.9,55.1,65.2,60.4,58.07912314,61.02661002,56.98215448,56.26289913
74,Fox Corporation,59.2,55.6,57.0,60.2,60.1,57.7,63.3,60.1,73.40441791,72.62047327,71.9856079,75.65965083
75,The Trump Organization,56.9,55.0,55.2,57.8,58.2,54.7,63.0,55.2,50.10160267,24.32168398,49.76661093,75.9977109
