corporation,2019 Ranking,2019 Demo_Democrat,2019 Demo_Independent,2019 Demo_Republican
Nike,76.03721793,77.73857899,76.827129,73.44078035
Nintendo,76.89825588,76.27487383,77.7213136,76.64851701
Nordstrom,74.87144266,76.47152618,70.90282463,78.52956856
Papa John's,66.60414802,63.61133708,67.32310952,69.07441692
Patagonia,81.35768639,81.66463275,80.19935388,82.50762409
PepsiCo,74.15389042,73.98149444,72.0043509,76.71078014
Phillip Morris,49.42286191,42.80647617,52.39509521,53.83432731
Procter & Gamble Co.,79.84890292,82.48271077,76.97866132,79.93156672
Progressive,71.48808287,73.28101809,68.03254241,74.32012373
Publix Supermarkets,80.28739857,81.6266733,74.0772116,83.23932879
Royal Dutch Shell,73.20696477,74.50426931,70.28923693,75.79077333
Samsung,79.99742621,80.70384872,77.07015081,83.37339446
Sears Holdings Corporation,52.28288057,51.47549201,48.77505338,57.02021157
Sony,79.38658225,82.23615294,75.15660117,81.83222309
Southwest Airlines,73.38131112,76.38386425,68.89371532,73.69977679
Spirit Airlines,61.7634729,63.27516048,61.84581464,59.66580205
Starbucks Corporation,72.70404988,78.93553631,69.45681987,70.21669962
State Farm Insurance,71.53096425,75.47336301,69.5464817,72.01817066
T-Mobile,71.78701432,71.93827789,69.18685324,76.12664383
Target,69.90978356,77.02178406,68.96170672,63.43066247
Tesla Motors,75.41840457,79.7191667,73.99812353,72.08017488
The Home Depot,79.11761146,76.73844312,77.97438321,82.75882948
Toyota Motor Corporation,75.88824155,79.22105976,73.93661269,74.46127671
The Trump Organization,50.10160267,24.32168398,49.76661093,75.9977109
Twitter,61.87636704,64.25195109,64.23663912,55.34599528
U.S. Government,48.61974243,47.2489165,43.18889887,57.04356635
Uber,67.34513614,66.88961472,66.43033278,68.78467812
Under Armour,75.1753648,71.00217953,75.87692623,78.06082439
Unilever,77.29355029,80.69528109,69.46242894,83.37274322
United Airlines,65.19025988,64.2467686,67.54600543,63.17607828
UPS,79.34060591,79.03965585,77.53168618,82.12002584
USAA,78.82133788,79.43176997,76.65626312,80.15643782
Verizon Communications,71.60355921,72.13010218,68.8649555,73.69111082
Volkswagen,70.19564711,76.53050526,65.41347996,70.33720859
Walgreens,75.44054763,75.91083055,69.82950257,81.64067261
Walmart,66.92850718,69.53046511,62.00506894,69.39473586
The Walt Disney Company,80.37410982,82.95696761,78.58395642,80.37260144
Wegmans,82.96827078,84.29117755,80.96062339,83.81961666
Wells Fargo & Company,52.72655244,56.7318277,43.74130712,57.40181983
Yum! Brands,71.41634229,72.9328697,67.95021329,74.70794906
