,corporation,2019 Ranking,2019 Demo_Democrat,2019 Demo_Independent,2019 Demo_Republican
72,Delta Air Lines,69.6494899372693,72.2916056225874,66.339297099229,70.6648985272606
73,AT&T,69.4923478907797,67.4133692024392,66.9110144474248,74.8397765932047
74,Citigroup,68.8249431673217,66.5153156554101,69.646638681441,70.0861189928754
75,Dollar General,68.2447238408092,69.7290930194385,68.2510467681986,66.9658723174417
76,ExxonMobil,67.5215486364619,66.640322143477,65.5560444882264,70.6975853565873
77,Uber,67.3451361447964,66.8896147168545,66.4303327782489,68.7846781150353
78,Walmart,66.9285071834527,69.530465113107,62.0050689387813,69.3947358557748
79,American Airlines,66.8915014653786,67.6567400685325,63.935284101607,70.1769041128133
80,Chipotle,66.8326289392594,69.8924780643813,62.6133483431,68.137590327609
81,Papa John's,66.6041480154491,63.6113370764373,67.3231095171178,69.0744169181969
82,JCPenney,66.5608082722146,70.2731908411057,63.5082125517773,67.9909004818224
83,BP,66.4601749198843,64.8677639160992,61.1483977694685,73.9728937474668
84,Fiat Chrysler,65.8053975107317,68.7553345937683,59.605437809433,71.5414111748698
85,United Airlines,65.1902598775267,64.246768598767,67.5460054325116,63.1760782811869
86,Charter,64.1130787219659,67.6366010386145,58.1700832465027,69.433391192332
87,McDonald's,63.7345109988418,64.8537361028673,65.0737431567817,61.1152352813404
88,Twitter,61.8763670372796,64.2519510919103,64.236639116115,55.3459952813909
89,Spirit Airlines,61.7634728968355,63.27516047827,61.8458146408457,59.6658020463229
90,Comcast,61.4130623565106,64.5183071133993,60.9177590818325,59.7141288728513
91,Bank of America,60.8731660727527,60.3695768208982,58.0355222427575,64.4037602005229
92,Goldman Sachs,60.0009112419357,59.135089619583,54.6427489710848,67.3740224325414
93,Facebook,58.0791231448591,61.0266100202612,56.9821544807497,56.2628991280063
94,Dish,56.8527512409649,58.3577057123569,58.1872308114544,53.3507504147768
95,Wells Fargo,52.7265524383791,56.7318277049821,43.7413071225992,57.401819833721
96,Sears,52.282880570075,51.475492009439,48.7750533832552,57.0202115722358
97,Trump Org.,50.1016026687668,24.321683981969,49.7666109266334,75.997710899557
98,Phillip Morris,49.4228619091203,42.8064761655211,52.3950952073803,53.8343273130417
99,U.S. Government,48.6197424308287,47.2489165000519,43.1888988684308,57.0435663507376
